pixel_iou,pixel_dice,pixel_accuracy,pixel_precision,pixel_recall,region_iou,region_dice,region_precision,region_recall,region_success_accuracy
0.0,0.0,0.9732141494750977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9900588989257812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9737148284912109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9899835586547852,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9858598709106445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9902009963989258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9624423980712891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9785661697387695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6554013992647931,0.7918338108882521,0.9972286224365234,0.8132725132430841,0.7714963707426019,0.6554013992647931,0.7918338108882521,0.8132725132430841,0.7714963707426019,1.0
0.0,0.0,0.9778327941894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9627256393432617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9906167984008789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9917068481445312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9870128631591797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9855976104736328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9905481338500977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9918508529663086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9926471710205078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9854049682617188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9926576614379883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9844017028808594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.992680549621582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9858388900756836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9840250015258789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9899415969848633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9914979934692383,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9579792022705078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9464073181152344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9737138748168945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9750967025756836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9992523193359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9802236557006836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9993562698364258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9977760314941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9901399612426758,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9903745651245117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9962482452392578,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9994649887084961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9911718368530273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9959840774536133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9972705841064453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9488611221313477,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9568653106689453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9559135437011719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9314041137695312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9567232131958008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9506168365478516,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.927281379699707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9569435119628906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9565553665161133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9585447311401367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9633970260620117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9625310897827148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9530143737792969,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9551458358764648,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9605779647827148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8997287872917474,0.9472181432533855,0.9962978363037109,0.9334601779397578,0.9613877235592846,0.8997287872917474,0.9472181432533855,0.9334601779397578,0.9613877235592846,1.0
0.0,0.0,0.9643840789794922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9329843521118164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9433193206787109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9579811096191406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9458751678466797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9619846343994141,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9647750854492188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.9490547180175781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
